"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4848484848485","51.3058419243986","49.2602996254682","52.136546184739","55.6026296566837","56.9757847533632","58.3124708624709","54.9057246003094","53.7517040358744","53.3548223350254","52.6743319838057","49.6272428884026","51.620026836632","55.0936770428016","51.8419624217119","54.2150220913108","57.9043280182232","60.5110685979776","56.6228939544103","57.4526515151515","56.1954308979869","53.5447527644482","58.7836510119866","69.2080507547583","71.8260473588342","66.8911478187209","73.0442213202307","67.4175711652672","69.5816653322658","71.7364253393665","78.0078636959371","76.6016260162602","74.635391727952","75.1735099172144","102.569158357341","","",
"Africa Eastern and Southern","AFE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","36.3409781887985","35.2522121979965","35.9123343936551","37.0342580419897","36.4024635335181","37.8517023567857","36.9701511795378","38.2313906166387","39.3150589979535","38.0684818369558","39.5182601471149","38.0786300205358","37.6940873921219","38.8692521651253","37.6930717318389","37.4244359859488","36.8101318424262","36.2817140935144","41.3178182589115","37.6676893907274","36.7754869340424","35.4810320144795","37.4414869335507","37.7404724520711","38.0872188002186","36.0151154881336","35.7974931548069","38.3079994534677","36.152001280504","36.9337681990769","37.5233051514207","37.8262012877061","39.3851569258967","39.8271344993668","40.4032459685935","35.8935325381306","39.6537073688555","41.4768839141124","42.6915115954904","43.4103058133802","45.2667486320744","47.118475405147","49.4645695064103","49.1513009700203","49.9475205575153","49.4624777017705","48.2838935073642","47.2300498464352","44.8614404060446","44.7232872160776","46.2474860713346","44.6779064178373","44.9908828459647","46.499458699445","49.2880720419133","53.5143788865493","54.8432537082845","",
"Afghanistan","AFG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","13.4504123894373","14.5344127789343","17.1951216017252","14.464495500823","16.6888879617284","15.5739518818132","11.2079367747921","9.34262901059774","13.2904527518499","15.2870658843754","13.2033209985099","14.0364241712093","18.3537613659268","18.1839750816708","16.5922684859783","16.9945543576289","19.5465216541456","21.6490588241804","22.5257231624509","24.5423892365334","28.8571609170968","31.6095525701839","","","","","","","","","","","","","","","","","","","","","","","","","23.3438645266527","23.833664421484","29.5122807993009","33.0609569578245","35.3505617153186","36.6242278045429","32.9136922701029","32.6820168994225","34.2095967895183","33.9280526549766","37.2228186582708","36.8612612972957","36.6074938854128","34.9592143142587","37.2094633939287","","",
"Africa Western and Central","AFW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","11.2734193271372","11.4394072857004","11.7595225954512","11.7910329082614","12.8956813392001","12.4944163384329","12.6205605263913","13.0449541137576","14.0170016436296","14.4051380546836","12.8064581744403","13.0038008246946","13.5581290147911","14.1845713480921","15.3803422216063","18.2368592028437","20.4149706445485","22.6875696568674","21.7259376628582","22.1086038585646","25.3009887845107","12.9391756955714","13.2368524011304","14.2754114685359","15.4383614080162","15.4530853203893","16.5451134662204","16.4820596467854","16.8886542991832","16.1707258721332","16.454454407672","17.1291928062592","17.5722597700242","17.1256392671892","17.1534630932187","14.8467047595238","13.1129370917557","13.3650522501617","13.6670780381974","14.5030147953316","15.4159044673317","15.8093427531489","15.2342700897157","15.0225729354992","14.263415443233","13.7006522310083","13.9473410843803","19.0289551384333","21.7672942840088","23.4742909617595","21.8180016477726","22.8296512051164","24.3917592358837","24.5768371119108","23.2450065341493","23.7322671089281","27.1097962173257","25.5422342449206","26.1381818314431","25.8164025177234","28.594861607702","29.2310587625436","",
"Angola","AGO","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4871300806511","27.5775740909858","22.6154835724704","24.4370429180687","22.8493546482441","17.2805558862873","21.1357136613316","16.0498827420693","13.508367118858","13.553648470679","13.2998188926253","16.2733257364948","20.4468711883162","31.5205041653311","45.6081681117929","34.7747524653276","34.9788715890949","31.5177312017641","33.3315474060548","35.6755532005176","40.9446599162018","39.1623080560863","32.1865210912766","30.6464405237236","33.6927339334333","40.0699484385323","25.8619697463088","21.2744378672661",
"Albania","ALB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7649557954901","48.4436391664471","46.2233706883918","59.9252695246949","62.2390091672556","66.0222149082269","65.4631703175784","69.8224660901217","66.8522792044418","65.4423141253721","68.2203666875648","71.4176324482325","76.3656780122259","78.4658756659569","75.4805325555486","76.1817094662639","79.0774778263132","82.2797364957128","84.2887701256967","85.106288419788","85.6508075295366","84.7921679249979","85.8049588483096","81.7033945876204","77.2351154908765","77.9394365407651","88.4401190006595","85.2458669679549","77.7381965416521",
"Andorra","AND","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","22.4451141728699","22.5478700561353","22.3048661915222","23.2976238639549","24.2814522136239","30.0648591650982","31.6763901669349","33.8781793921188","32.4096683584064","32.6856103694977","31.3237914902698","29.5350814330124","32.0730744225383","32.3214179058521","21.4761716657847","25.7466583691294","27.0520519469646","29.9213181640069","34.6004324050033","30.7762811427969","28.2549399880061","31.2379346702889","38.627505391603","46.0809867454191","50.2934151259761","55.2569648955286","61.7627854749172","62.2168979809475","63.2973752267159","58.2729765002426","51.0312555676997","51.5333100986327","53.7928825925533","55.8106793328489","55.5936279342301","54.1958277800463","52.0291246885678","52.6258634849664","57.6290886514884","57.4035782337484","54.5868494476419","61.6084298768932","65.3043332238937","64.370209114076","60.5538216005929","56.7524428413951","56.761862999724","60.6950579152799","58.2787398991532","72.2306280952935","67.0571255824611","61.3721713959389","60.0824715847801","64.7663055882543","69.3312595418107","79.8191235092456","84.2217447450093","80.7856237268704","","","","","",
"United Arab Emirates","ARE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","15.1256152144462","22.0584324103698","16.0065717640757","19.0955117827924","15.2940485282886","14.5551169898168","16.0646703809434","19.6587244087127","23.1284087799352","30.5385171719541","33.4682937956204","41.7923551646376","41.1322986621147","43.6713775081101","41.5115163778265","31.1661517797179","35.1094859655056","34.9105026316847","33.5039177277179","33.9067287066681","33.7114918477698","32.1912026066351","32.7571194604344","35.5448088257519","35.501376859728","33.1356885424306","40.8091994981709","42.4319365236796","43.1601490818154","44.9240631072879","48.0353567361898","48.1623050962153","58.6521072174004","58.1507270928829","78.1994209488793","72.7147810718815","63.143009567001","60.1534597054849","70.9553810234731","74.0022718305817","87.2764379108937","90.3667774468701","88.9808295861705","83.4278792380066","92.0588982108878","115.206585785508","102.549472171225","91.4000156658916",
"Argentina","ARG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","21.1392510247476","16.6059988579773","14.3101166943145","16.0176179468354","15.967859713929","15.1288752365402","15.9503697860632","18.4266744554408","20.4152214276336","20.8780873604572","22.9961680392878","18.0216983735412","22.6729620530187","23.2609282241113","26.0763792583239","22.1623210978758","19.0543200466971","22.4723059735341","24.5409673809534","25.867690551581","24.9557344126068","23.4115575468308","21.2428783892003","21.0259384418668","21.9747762099833","17.3033628652215","19.5847407377731","22.0526189016942","25.1476054816229","20.1046563194961","11.4810946772859","10.5567775609245","13.6914371927742","19.2186233404674","20.7702889993785","20.1412713745498","22.6904801492561","26.4701846280975","28.650684859336","31.44367758524","31.8486210586349","27.1392515912455","27.9270695501951","30.1040572265399","28.3256464652642","28.6633102803828","28.0496119297007","27.8643164271472","23.4936731580619","25.3227384656624","25.3131020043081","24.3288225735623","27.094656616163","27.1268661534912","25.7525433121082","27.64080836914","28.3138847636905","28.4952801666658","30.3681057966621","26.1344121218","34.4821955871876","30.6493464959986","31.742374020711",
