"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.59629898779962","-1.77211026503093","1.73548419161958","3.44595387032825","0.926468984819608","1.51350151806936","0.174875598892056","1.46809942753044","-0.527976915588078","-0.219434452504084","0.26528980073758","-0.864770610515561","1.51057008118887","2.7479495578534","2.95506691910883","3.44229415549678","4.12137333295336","2.77738665036377","-1.49722240981922","1.44177337021998","1.62506045468675","0.754859781192321","0.472345812514069","0.710971048314923","3.14710888182915","3.76672045699496","4.93889905089686","6.42957330268045","3.90177016471808","4.61793016768652","3.66915732181692","","",
"Afghanistan","AFG","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0988709362163","15.9306674644549","10.0349185979982","2.73979590065877","7.16478658364971","7.68199457764263","5.06883769370508","8.53880606024953","7.9460103856036","14.2815799353617","16.8087349007724","8.59482121984784","7.34759622028564","6.156238735395","6.64079765273621","4.9118827811615","15.6197182361804","0.336401413376997","3.77870819887428","2.75265403723455","0.874135162579652","-0.446428932242906","7.40831749445241","0.00948649735503038","3.7168142233086","3.54293750316087","2.41335026539443","2.32710635216872","2.24871425618582","4.41727029571487","7.16194549373413","","",
"Angola","AGO","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.24986022282712","-23.6006335301612","4.39170450395262","3.35514004118787","-1.46247739022782","2.32847619030791","5.93702556751946","-0.266214158826576","-13.4703473064324","-3.63081988811139","-1.47319867910878","-0.203527290504579","2.75829786695976","1.36111544784915","4.78318107357607","9.93558103144965","9.04780923010406","3.77931505052759","-2.41805204244966","-1.95194457928493","-10.4386000752319","","",
"Albania","ALB","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.32064951083058","-39.3780190240471","-44.6670575016304","-6.1218922404126","-10.6176390771367","4.32691141747513","5.44958289413006","-6.03293531691197","7.08623809109807","4.92621531831944","15.3286641537246","18.5370542177749","15.0913830774216","16.0936299179765","19.2232784679007","20.2000724442897","19.2988897836145","12.4583295285271","6.89852227761072","6.20210357974825","8.17497768418663","6.23995488665555","4.57351189555323","2.94288425782204","0.567939647111386","-0.302957097781482","0.79326946526189","-0.320973203232129","0.00228740148204917","-2.3226739539607","-5.67167898960356","","",
"Andorra","AND","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.7892812148031","4.71827428826419","3.60084768170156","3.02934227023945","4.00956099283669","4.21682138382615","5.38374426546571","4.7931908831715","8.14723796079102","10.1026201386161","10.9297860136545","10.2793581994621","12.7588821358769","15.8772337663312","20.2176813362286","22.223808714061","22.2627052007556","23.3063926912337","13.5398744551724","17.6967381514748","22.9235959625052","22.1116414900392","20.9602360942568","18.543485887403","11.0139155388543","11.9303620500945","14.6213603606133","16.3618163378878","16.137889797611","","","",
"United Arab Emirates","ARE","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.84019533835493","5.68277807275674","6.68680353360742","9.05606150899791","8.31542963457604","7.30235161242803","8.51898180244211","7.32077879444622","7.5843871404554","3.98660024528843","4.08187082113023","4.11072106241218","4.73695786620161","7.3965391652879","0.0540627349808014","0.490515673204133","9.0444904906805","11.4983317824428","10.5566700715458","8.05284524901703","7.0886491106907","7.25388660866376","5.49293487003216","4.28730808026847","4.64897830599121","5.0199064004834","5.03893300278404","4.96411397767305","1.59562050263532","3.64231856511131","8.54564336086007","","",
